AttendanceEventId,AttendeeId,SessionId,VenueId,AttendanceDate,AttendanceStartTime,AttendanceEndTime,EventCost
1,8,3477,9,2015-01-01,2015-01-01 09:00:00,2015-01-01 10:00:00,5.75
2,11,3551,8,2015-01-02,2015-01-02 09:00:00,2015-01-02 10:00:00,2.04
3,1,6835,2,2015-01-03,2015-01-03 09:00:00,2015-01-03 10:00:00,2.67
4,15,1599,9,2015-01-04,2015-01-04 09:00:00,2015-01-04 10:00:00,1.19
5,11,3972,8,2015-01-05,2015-01-05 09:00:00,2015-01-05 10:00:00,6.3
6,8,4844,6,2015-01-06,2015-01-06 09:00:00,2015-01-06 10:00:00,8.28
7,7,2905,8,2015-01-07,2015-01-07 09:00:00,2015-01-07 10:00:00,4.37
8,4,2567,5,2015-01-08,2015-01-08 09:00:00,2015-01-08 10:00:00,3.78
9,9,6032,9,2015-01-09,2015-01-09 09:00:00,2015-01-09 10:00:00,4.17
10,16,2874,8,2015-01-10,2015-01-10 09:00:00,2015-01-10 10:00:00,4.75
11,8,472,8,2015-01-11,2015-01-11 09:00:00,2015-01-11 10:00:00,5.36
12,16,6579,7,2015-01-12,2015-01-12 09:00:00,2015-01-12 10:00:00,4.69
13,19,4849,3,2015-01-13,2015-01-13 09:00:00,2015-01-13 10:00:00,7.59
14,4,5113,2,2015-01-14,2015-01-14 09:00:00,2015-01-14 10:00:00,6.07
15,16,9045,9,2015-01-15,2015-01-15 09:00:00,2015-01-15 10:00:00,3.04
16,9,2028,5,2015-01-16,2015-01-16 09:00:00,2015-01-16 10:00:00,5.5
17,19,5822,10,2015-01-17,2015-01-17 10:00:00,2015-01-17 11:00:00,7.53
18,7,1881,4,2015-01-18,2015-01-18 10:00:00,2015-01-18 11:00:00,2.67
19,2,4833,7,2015-01-19,2015-01-19 10:00:00,2015-01-19 11:00:00,4.61
20,3,971,5,2015-01-20,2015-01-20 10:00:00,2015-01-20 11:00:00,2.48
21,13,3006,5,2015-01-21,2015-01-21 10:00:00,2015-01-21 11:00:00,2.13
22,10,5454,8,2015-01-22,2015-01-22 10:00:00,2015-01-22 11:00:00,8.79
23,11,5999,3,2015-01-23,2015-01-23 10:00:00,2015-01-23 11:00:00,4.98
24,13,1566,9,2015-01-24,2015-01-24 10:00:00,2015-01-24 11:00:00,6.97
25,5,7150,8,2015-01-25,2015-01-25 10:00:00,2015-01-25 11:00:00,3.4
26,13,2038,7,2015-01-26,2015-01-26 10:00:00,2015-01-26 11:00:00,8.36
27,2,6392,9,2015-01-27,2015-01-27 10:00:00,2015-01-27 11:00:00,4.58
28,9,1674,10,2015-01-28,2015-01-28 10:00:00,2015-01-28 11:00:00,6.37
29,12,3545,9,2015-01-29,2015-01-29 10:00:00,2015-01-29 11:00:00,5.76
30,3,814,5,2015-01-30,2015-01-30 10:00:00,2015-01-30 11:00:00,3.68
31,11,1233,4,2015-01-31,2015-01-31 10:00:00,2015-01-31 11:00:00,6.91
32,14,8196,9,2015-02-01,2015-02-01 10:00:00,2015-02-01 11:00:00,1.28
33,16,4721,6,2015-02-02,2015-02-02 10:00:00,2015-02-02 11:00:00,7.42
34,14,6979,4,2015-02-03,2015-02-03 10:00:00,2015-02-03 11:00:00,4.66
35,14,2415,5,2015-02-04,2015-02-04 10:00:00,2015-02-04 11:00:00,6.25
36,14,5876,4,2015-02-05,2015-02-05 10:00:00,2015-02-05 11:00:00,8.16
37,3,7106,3,2015-02-06,2015-02-06 10:00:00,2015-02-06 11:00:00,5.95
38,7,5184,5,2015-02-07,2015-02-07 10:00:00,2015-02-07 11:00:00,1.19
39,12,5863,2,2015-02-08,2015-02-08 10:00:00,2015-02-08 11:00:00,3.2
40,9,800,1,2015-02-09,2015-02-09 09:00:00,2015-02-09 10:00:00,8.08
41,8,5488,9,2015-02-10,2015-02-10 09:00:00,2015-02-10 10:00:00,2.35
42,3,6767,6,2015-02-11,2015-02-11 09:00:00,2015-02-11 10:00:00,1.46
43,3,2318,4,2015-02-12,2015-02-12 09:00:00,2015-02-12 10:00:00,1.15
44,14,268,6,2015-02-13,2015-02-13 09:00:00,2015-02-13 10:00:00,2.05
45,12,9068,6,2015-02-14,2015-02-14 09:00:00,2015-02-14 10:00:00,6.15
46,5,5509,8,2015-02-15,2015-02-15 09:00:00,2015-02-15 10:00:00,3.16
47,12,2442,1,2015-02-16,2015-02-16 09:00:00,2015-02-16 10:00:00,8.91
48,15,4646,7,2015-02-17,2015-02-17 09:00:00,2015-02-17 10:00:00,1.36
49,8,1576,1,2015-02-18,2015-02-18 09:00:00,2015-02-18 10:00:00,7.29
50,5,8728,8,2015-02-19,2015-02-19 09:00:00,2015-02-19 10:00:00,8.94
51,13,5465,8,2015-02-20,2015-02-20 09:00:00,2015-02-20 10:00:00,1.13
52,11,7299,8,2015-02-21,2015-02-21 09:00:00,2015-02-21 10:00:00,1.99
53,16,3404,6,2015-02-22,2015-02-22 09:00:00,2015-02-22 10:00:00,3.64
54,17,6827,9,2015-02-23,2015-02-23 09:00:00,2015-02-23 10:00:00,3.15
55,9,3524,5,2015-02-24,2015-02-24 09:00:00,2015-02-24 10:00:00,1.8
56,12,7947,4,2015-02-25,2015-02-25 09:00:00,2015-02-25 10:00:00,3.59
57,7,8327,6,2015-02-26,2015-02-26 09:00:00,2015-02-26 10:00:00,1.81
58,1,4575,2,2015-02-27,2015-02-27 09:00:00,2015-02-27 10:00:00,1.99
59,7,6431,2,2015-02-28,2015-02-28 09:00:00,2015-02-28 10:00:00,3.83
60,8,8354,10,2015-03-01,2015-03-01 09:00:00,2015-03-01 10:00:00,8.17
61,16,4152,2,2015-03-02,2015-03-02 09:00:00,2015-03-02 10:00:00,8.13
62,12,3924,2,2015-03-03,2015-03-03 09:00:00,2015-03-03 10:00:00,3.28
63,16,1953,4,2015-03-04,2015-03-04 09:00:00,2015-03-04 10:00:00,5.73
64,17,4276,9,2015-03-05,2015-03-05 09:00:00,2015-03-05 10:00:00,3.26
65,6,122,6,2015-03-06,2015-03-06 09:00:00,2015-03-06 10:00:00,3.96
66,5,919,6,2015-03-07,2015-03-07 09:00:00,2015-03-07 10:00:00,3.73
67,15,7967,9,2015-03-08,2015-03-08 09:00:00,2015-03-08 10:00:00,4.14
68,17,506,8,2015-03-09,2015-03-09 09:00:00,2015-03-09 10:00:00,6.21
69,11,5638,6,2015-03-10,2015-03-10 09:00:00,2015-03-10 10:00:00,5.45
70,3,3549,2,2015-03-11,2015-03-11 09:00:00,2015-03-11 10:00:00,4.85
71,3,1195,4,2015-03-12,2015-03-12 09:00:00,2015-03-12 10:00:00,1.16
72,6,1151,10,2015-03-13,2015-03-13 09:00:00,2015-03-13 10:00:00,7.65
73,13,6355,9,2015-03-14,2015-03-14 09:00:00,2015-03-14 10:00:00,8.17
74,5,5811,9,2015-03-15,2015-03-15 09:00:00,2015-03-15 10:00:00,4.19
75,11,2662,7,2015-03-16,2015-03-16 09:00:00,2015-03-16 10:00:00,6.05
76,7,5731,2,2015-03-17,2015-03-17 09:00:00,2015-03-17 10:00:00,3.09
77,5,5058,7,2015-03-18,2015-03-18 09:00:00,2015-03-18 10:00:00,3.83
78,19,5882,6,2015-03-19,2015-03-19 09:00:00,2015-03-19 10:00:00,8.16
79,1,913,5,2015-03-20,2015-03-20 09:00:00,2015-03-20 10:00:00,7.47
80,19,6262,9,2015-03-21,2015-03-21 09:00:00,2015-03-21 10:00:00,2.63
81,18,3065,5,2015-03-22,2015-03-22 09:00:00,2015-03-22 10:00:00,5.49
82,10,795,7,2015-03-23,2015-03-23 09:00:00,2015-03-23 10:00:00,6.38
83,2,81,7,2015-03-24,2015-03-24 09:00:00,2015-03-24 10:00:00,8.68
84,11,1074,9,2015-03-25,2015-03-25 09:00:00,2015-03-25 10:00:00,1.27
85,15,2491,4,2015-03-26,2015-03-26 09:00:00,2015-03-26 10:00:00,8.66
86,10,1437,3,2015-03-27,2015-03-27 09:00:00,2015-03-27 10:00:00,7.71
87,13,3553,9,2015-03-28,2015-03-28 09:00:00,2015-03-28 10:00:00,1.61
88,11,1695,6,2015-03-29,2015-03-29 09:00:00,2015-03-29 10:00:00,8.76
89,4,4501,9,2015-03-30,2015-03-30 09:00:00,2015-03-30 10:00:00,3.45
90,18,4280,6,2015-03-31,2015-03-31 09:00:00,2015-03-31 10:00:00,6.48
91,13,8753,8,2015-04-01,2015-04-01 09:00:00,2015-04-01 10:00:00,2.67
92,16,5176,5,2015-04-02,2015-04-02 09:00:00,2015-04-02 10:00:00,7.33
93,13,6834,7,2015-04-03,2015-04-03 09:00:00,2015-04-03 10:00:00,3.77
94,3,4099,7,2015-04-04,2015-04-04 09:00:00,2015-04-04 10:00:00,7.61
95,14,5477,8,2015-04-05,2015-04-05 09:00:00,2015-04-05 10:00:00,1.45
96,3,4868,7,2015-04-06,2015-04-06 09:00:00,2015-04-06 10:00:00,7.36
97,15,2578,2,2015-04-07,2015-04-07 09:00:00,2015-04-07 10:00:00,7.3
98,16,8068,1,2015-04-08,2015-04-08 09:00:00,2015-04-08 10:00:00,5.24
99,14,6588,9,2015-04-09,2015-04-09 09:00:00,2015-04-09 10:00:00,5.87
100,10,2394,7,2015-04-10,2015-04-10 09:00:00,2015-04-10 10:00:00,1.15
101,9,8658,10,2015-04-11,2015-04-11 09:00:00,2015-04-11 10:00:00,7.41
102,7,429,7,2015-04-12,2015-04-12 09:00:00,2015-04-12 10:00:00,4.69
103,18,5315,4,2015-04-13,2015-04-13 09:00:00,2015-04-13 10:00:00,4.19
104,16,5437,3,2015-04-14,2015-04-14 09:00:00,2015-04-14 10:00:00,1.69
105,4,2637,2,2015-04-15,2015-04-15 09:00:00,2015-04-15 10:00:00,1.41
106,8,17,9,2015-04-16,2015-04-16 09:00:00,2015-04-16 10:00:00,7.47
107,16,7576,4,2015-04-17,2015-04-17 09:00:00,2015-04-17 10:00:00,3.97
108,6,9242,9,2015-04-18,2015-04-18 09:00:00,2015-04-18 10:00:00,1.8
109,6,7661,6,2015-04-19,2015-04-19 09:00:00,2015-04-19 10:00:00,3.37
110,14,5467,6,2015-04-20,2015-04-20 09:00:00,2015-04-20 10:00:00,3.55
111,16,2066,1,2015-04-21,2015-04-21 09:00:00,2015-04-21 10:00:00,8.09
112,2,1014,7,2015-04-22,2015-04-22 09:00:00,2015-04-22 10:00:00,2.32
113,5,6190,6,2015-04-23,2015-04-23 09:00:00,2015-04-23 10:00:00,5.37
114,4,8005,4,2015-04-24,2015-04-24 09:00:00,2015-04-24 10:00:00,3.61
115,5,3012,5,2015-04-25,2015-04-25 09:00:00,2015-04-25 10:00:00,1.78
116,10,2259,4,2015-04-26,2015-04-26 09:00:00,2015-04-26 10:00:00,5.95
117,1,348,2,2015-04-27,2015-04-27 09:00:00,2015-04-27 10:00:00,1.07
118,2,5379,8,2015-04-28,2015-04-28 09:00:00,2015-04-28 10:00:00,6.37
119,5,8761,9,2015-04-29,2015-04-29 09:00:00,2015-04-29 10:00:00,6.25
120,11,3375,9,2015-04-30,2015-04-30 09:00:00,2015-04-30 10:00:00,8.89
121,5,274,2,2015-05-01,2015-05-01 10:00:00,2015-05-01 11:00:00,7.56
122,18,78,3,2015-05-02,2015-05-02 10:00:00,2015-05-02 11:00:00,3.32
123,18,7989,9,2015-05-03,2015-05-03 10:00:00,2015-05-03 11:00:00,8.56
124,11,3621,2,2015-05-04,2015-05-04 10:00:00,2015-05-04 11:00:00,3.06
125,1,6282,3,2015-05-05,2015-05-05 10:00:00,2015-05-05 11:00:00,3.57
126,4,634,4,2015-05-06,2015-05-06 10:00:00,2015-05-06 11:00:00,7.71
127,7,7719,10,2015-05-07,2015-05-07 10:00:00,2015-05-07 11:00:00,3.47
128,10,7392,8,2015-05-08,2015-05-08 10:00:00,2015-05-08 11:00:00,5.84
129,12,4706,4,2015-05-09,2015-05-09 10:00:00,2015-05-09 11:00:00,4.64
130,4,8391,1,2015-05-10,2015-05-10 10:00:00,2015-05-10 11:00:00,2.24
131,3,8972,2,2015-05-11,2015-05-11 10:00:00,2015-05-11 11:00:00,7.72
132,3,1105,9,2015-05-12,2015-05-12 10:00:00,2015-05-12 11:00:00,8.99
133,17,8056,2,2015-05-13,2015-05-13 10:00:00,2015-05-13 11:00:00,7.29
134,16,2802,8,2015-05-14,2015-05-14 10:00:00,2015-05-14 11:00:00,6.83
135,3,360,10,2015-05-15,2015-05-15 10:00:00,2015-05-15 11:00:00,6.74
136,8,3081,8,2015-05-16,2015-05-16 10:00:00,2015-05-16 11:00:00,8.61
137,13,7445,6,2015-05-17,2015-05-17 10:00:00,2015-05-17 11:00:00,7.08
138,12,6103,3,2015-05-18,2015-05-18 10:00:00,2015-05-18 11:00:00,1.35
139,14,797,9,2015-05-19,2015-05-19 10:00:00,2015-05-19 11:00:00,2.8
140,16,1894,4,2015-05-20,2015-05-20 10:00:00,2015-05-20 11:00:00,8.61
141,9,7084,3,2015-05-21,2015-05-21 10:00:00,2015-05-21 11:00:00,6.43
142,6,8623,7,2015-05-22,2015-05-22 10:00:00,2015-05-22 11:00:00,3.84
143,10,6399,4,2015-05-23,2015-05-23 10:00:00,2015-05-23 11:00:00,1.17
144,9,5868,8,2015-05-24,2015-05-24 10:00:00,2015-05-24 11:00:00,1.12
145,18,944,8,2015-05-25,2015-05-25 10:00:00,2015-05-25 11:00:00,2.23
146,10,5227,5,2015-05-26,2015-05-26 10:00:00,2015-05-26 11:00:00,4.67
147,10,1016,3,2015-05-27,2015-05-27 10:00:00,2015-05-27 11:00:00,3.86
148,3,1732,8,2015-05-28,2015-05-28 10:00:00,2015-05-28 11:00:00,7.22
149,7,435,3,2015-05-29,2015-05-29 10:00:00,2015-05-29 11:00:00,5
150,3,1556,8,2015-05-30,2015-05-30 10:00:00,2015-05-30 11:00:00,8.39
151,2,7626,3,2015-05-31,2015-05-31 10:00:00,2015-05-31 11:00:00,4.52
152,4,4582,8,2015-06-01,2015-06-01 10:00:00,2015-06-01 11:00:00,8.22
153,7,3968,6,2015-06-02,2015-06-02 10:00:00,2015-06-02 11:00:00,3.26
154,5,9009,7,2015-06-03,2015-06-03 10:00:00,2015-06-03 11:00:00,4.52
155,16,7358,4,2015-06-04,2015-06-04 10:00:00,2015-06-04 11:00:00,2.14
156,17,2743,4,2015-06-05,2015-06-05 10:00:00,2015-06-05 11:00:00,5.78
