SessionId,SessionDate,SessionStartTime,SessionEndTime,SessionVenueId,NumberofBeds,Numberofconsultants,NumberofNurses,NumberInvited,NumberAttended,NumberofDonations,TotalBloodCollected
1,2015-01-01,2015-01-01 09:00:00,2015-01-01 14:00:00,1,3,0,0,0,0,0,0
2,2015-01-02,2015-01-02 09:00:00,2015-01-02 14:00:00,1,3,2,5,45,27,17,10
3,2015-01-03,2015-01-03 09:00:00,2015-01-03 14:00:00,1,3,2,5,45,27,17,10
4,2015-01-04,2015-01-04 09:00:00,2015-01-04 14:00:00,1,3,2,5,45,27,17,10
5,2015-01-05,2015-01-05 09:00:00,2015-01-05 14:00:00,1,3,2,5,45,27,17,10
6,2015-01-06,2015-01-06 09:00:00,2015-01-06 14:00:00,1,3,2,5,45,27,17,10
7,2015-01-07,2015-01-07 09:00:00,2015-01-07 14:00:00,1,3,2,5,45,27,17,10
8,2015-01-08,2015-01-08 09:00:00,2015-01-08 14:00:00,1,3,2,5,45,27,17,10
9,2015-01-09,2015-01-09 09:00:00,2015-01-09 14:00:00,1,3,2,5,45,27,17,10
10,2015-01-10,2015-01-10 09:00:00,2015-01-10 14:00:00,1,3,2,5,45,27,17,10
11,2015-01-11,2015-01-11 09:00:00,2015-01-11 14:00:00,1,3,2,5,45,27,17,10
12,2015-01-12,2015-01-12 09:00:00,2015-01-12 14:00:00,1,3,2,5,45,27,17,10
13,2015-01-13,2015-01-13 09:00:00,2015-01-13 14:00:00,1,3,2,5,45,27,17,10
14,2015-01-14,2015-01-14 09:00:00,2015-01-14 14:00:00,1,3,2,5,45,27,17,10
15,2015-01-15,2015-01-15 12:00:00,2015-01-15 16:00:00,1,3,2,5,45,27,17,10
16,2015-01-16,2015-01-16 09:00:00,2015-01-16 14:00:00,1,3,2,5,45,27,17,10
17,2015-01-17,2015-01-17 09:00:00,2015-01-17 14:00:00,1,3,2,5,45,27,17,10
18,2015-01-18,2015-01-18 09:00:00,2015-01-18 14:00:00,1,3,2,5,45,27,17,10
19,2015-01-19,2015-01-19 09:00:00,2015-01-19 14:00:00,1,3,2,5,45,27,17,10
20,2015-01-20,2015-01-20 09:00:00,2015-01-20 14:00:00,1,3,2,5,45,27,17,10
21,2015-01-21,2015-01-21 09:00:00,2015-01-21 14:00:00,1,3,2,5,45,27,17,10
22,2015-01-22,2015-01-22 09:00:00,2015-01-22 14:00:00,1,3,2,5,45,27,17,10
23,2015-01-23,2015-01-23 09:00:00,2015-01-23 14:00:00,1,3,2,5,45,27,17,10
24,2015-01-24,2015-01-24 09:00:00,2015-01-24 14:00:00,1,3,2,5,45,27,17,10
25,2015-01-25,2015-01-25 09:00:00,2015-01-25 14:00:00,1,3,2,5,45,27,17,10
26,2015-01-26,2015-01-26 09:00:00,2015-01-26 14:00:00,1,3,2,5,45,27,17,10
27,2015-01-27,2015-01-27 09:00:00,2015-01-27 14:00:00,1,3,2,5,45,27,17,10
28,2015-01-28,2015-01-28 09:00:00,2015-01-28 14:00:00,1,3,2,5,45,27,17,10
29,2015-01-29,2015-01-29 09:00:00,2015-01-29 14:00:00,1,3,2,5,45,27,17,10
30,2015-01-30,2015-01-30 09:00:00,2015-01-30 14:00:00,1,3,2,5,45,27,17,10
31,2015-01-31,2015-01-31 09:00:00,2015-01-31 14:00:00,1,3,2,5,45,27,17,10
32,2015-02-01,2015-02-01 09:00:00,2015-02-01 14:00:00,1,3,2,5,45,27,17,10
33,2015-02-02,2015-02-02 09:00:00,2015-02-02 14:00:00,1,3,2,5,45,27,17,10
34,2015-02-03,2015-02-03 09:00:00,2015-02-03 14:00:00,1,3,2,5,45,27,17,10
35,2015-02-04,2015-02-04 09:00:00,2015-02-04 14:00:00,1,3,2,5,45,27,17,10
36,2015-02-05,2015-02-05 09:00:00,2015-02-05 14:00:00,1,3,2,5,45,27,17,10
37,2015-02-06,2015-02-06 09:00:00,2015-02-06 14:00:00,1,3,2,5,45,27,17,10
38,2015-02-07,2015-02-07 09:00:00,2015-02-07 14:00:00,1,3,2,5,45,27,17,10
39,2015-02-08,2015-02-08 09:00:00,2015-02-08 14:00:00,1,3,2,5,45,27,17,10
40,2015-02-09,2015-02-09 09:00:00,2015-02-09 14:00:00,1,3,2,5,45,27,17,10
41,2015-02-10,2015-02-10 09:00:00,2015-02-10 14:00:00,1,3,2,5,45,27,17,10
42,2015-02-11,2015-02-11 09:00:00,2015-02-11 14:00:00,1,3,2,5,45,27,17,10
43,2015-02-12,2015-02-12 09:00:00,2015-02-12 14:00:00,1,3,2,5,45,27,17,10
44,2015-02-13,2015-02-13 09:00:00,2015-02-13 14:00:00,1,3,2,5,45,27,17,10
45,2015-02-14,2015-02-14 09:00:00,2015-02-14 14:00:00,1,3,2,5,45,27,17,10
46,2015-02-15,2015-02-15 09:00:00,2015-02-15 14:00:00,1,3,2,5,45,27,17,10
47,2015-02-16,2015-02-16 09:00:00,2015-02-16 14:00:00,1,3,2,5,45,27,17,10
48,2015-02-17,2015-02-17 09:00:00,2015-02-17 14:00:00,1,3,1,5,45,24,14,8
49,2015-02-18,2015-02-18 09:00:00,2015-02-18 14:00:00,1,3,1,5,45,24,14,8
50,2015-02-19,2015-02-19 09:00:00,2015-02-19 14:00:00,1,3,1,5,45,24,14,8
51,2015-02-20,2015-02-20 09:00:00,2015-02-20 14:00:00,1,3,1,5,45,24,14,8
