SessionDate,NumberInvited,NumberAttended,Numberof Donations,TotalBloodCollected,VenueLong,VenueLat,SurfaceTemperatureCelsius,RelativeHumidityPercent,SurfaceAirpressureKiloPascals,CloudCoveragePercent,ApparentTemperatureCelsius,WindSpeedKph,PrecipitationPreviousHourCentimeters,HeatIndexCelsius,SnowfallCentimeters,SurfaceWindGustsKph
2016-10-10,30,12,5,3,-2.5879,51.4545,16.9,78,101.2,0,16.9,31.4,0,16.9,0,46.3
2016-10-10,30,12,5,3,-2.5879,51.4545,17,78,101.3,0,17,30.4,0,17,0,42.7
2016-06-14,115,78,58,33,-2.5879,51.4545,16.1,82,102.1,84,16.1,17.2,0,16.1,0,21.2
2016-06-14,115,78,58,33,-2.5879,51.4545,16.1,83,102.1,44,16.1,20,0,16.1,0,24.7
2016-05-31,35,20,11,6,-0.0879,51.4992,3.5,85,102,100,0.2,13.1,0.00254,3.5,0,24.8
2017-03-15,115,78,58,33,-2.2426,53.4808,7.7,87,101.4,24,7,5.5,0,7.7,0,21.2
2016-07-02,115,78,58,33,-1.5491,53.8008,8.5,89,100.6,100,5.6,19.5,0.00254,8.5,0,38.3
2015-11-02,35,20,11,6,-2.5879,51.4545,16.7,82,101.8,4,16.7,3.7,0,16.7,0,21.3
2015-11-02,35,20,11,6,-2.5879,51.4545,16.9,78,101.8,4,16.9,6.5,0,16.9,0,21
2016-11-09,115,78,58,33,-0.0879,51.4992,24.2,56,101.3,3,24.2,20,0,24.2,0,46.3
2016-11-09,115,78,58,33,-0.0879,51.4992,24.6,55,101.3,0,24.6,20.6,0,24.6,0,47.5
2017-02-17,200,144,110,63,-0.0881,51.5413,9,92,100.1,100,7.6,9.4,0,9,0,30.7
2017-02-17,200,144,110,63,-0.0881,51.5413,10.5,85,100.1,100,10.5,11.4,0,10.5,0,37.8
2016-10-17,50,23,14,8,-3.1791,51.4816,10.4,89,100.5,79,10.4,23.9,0.015,10.4,0,29.8
2016-10-17,50,23,14,8,-3.1791,51.4816,10.6,88,100.6,87,10.6,27.1,0,10.6,0,34.1
2015-08-07,40,23,14,8,-0.0881,51.5413,19.9,53,101.4,0,19.9,18.8,0,19.9,0,39.4
2015-08-07,40,23,14,8,-0.0881,51.5413,19.4,55,101.3,0,19.4,18.7,0,19.4,0,38.7
2017-03-31,30,12,5,3,-0.0558,51.5176,20.1,39,101.1,55,20.1,10.2,0,20.1,0,24.7
2017-03-31,30,12,5,3,-0.0558,51.5176,21.2,40,101.1,50,21.2,7.2,0,21.2,0,20.2
2016-08-01,115,78,58,33,-1.5197,52.4068,17.8,70,99.2,89,17.8,20.2,0,17.8,0,41.7
2016-08-01,115,78,58,33,-1.5197,52.4068,17.4,74,99.2,100,17.4,21.4,0,17.4,0,43.5
2016-05-16,82,78,58,33,-1.8904,52.4862,16,58,99.2,94,16,22.5,0,16,0,58.4
2016-05-16,82,78,58,33,-1.8904,52.4862,16.9,57,99.2,78,16.9,21.5,0,16.9,0,58
2015-05-08,40,17,9,5,-0.0881,51.5413,17.4,85,99.1,97,17.4,12.5,0.11,17.4,0,36.4
2015-05-08,40,17,9,5,-0.0881,51.5413,17.2,87,98.9,97,17.2,10.7,0.189,17.2,0,33.6
2015-11-21,200,144,110,63,-3.1791,51.4816,9.8,79,102.9,14,6,35.6,0,9.8,0,45.7
2015-11-21,200,144,110,63,-3.1791,51.4816,9.8,77,102.9,11,5.9,36.1,0,9.8,0,46.4
2015-08-05,150,87,65,37,0.1354,51.5154,15.9,62,101.9,7,15.9,4.7,0,15.9,0,15
2015-08-05,150,87,65,37,0.1354,51.5154,15.9,64,101.9,5,15.9,5.4,0,15.9,0,16.3
2015-01-07,200,144,110,63,-0.0558,51.5176,16.8,77,100.1,33,16.8,11.1,0,16.8,0,40
2015-01-07,200,144,110,63,-0.0558,51.5176,17.9,73,100.1,52,17.9,11.1,0,17.9,0,44
2016-03-27,45,23,14,8,-1.5491,53.8008,11.7,72,99.3,91,11.7,19.4,0,11.7,0,48.2
2016-03-27,45,23,14,8,-1.5491,53.8008,11,75,99.3,99,11,17.7,0.00254,11,0,45.2
2015-11-15,82,67,49,28,-0.0881,51.5413,13.3,82,102.4,100,13.3,7.2,0.00254,13.3,0,34.3
2015-11-15,82,67,49,28,-0.0881,51.5413,12.8,84,102.4,100,12.8,6.7,0.00254,12.8,0,34.7
2017-07-17,200,144,110,63,-1.5197,52.4068,9.1,69,100,0,7.3,11.7,0,9.1,0,35.5
2017-07-17,200,144,110,63,-1.5197,52.4068,10.1,66,100,17,10.1,12.1,0,10.1,0,32.7
2016-03-07,25,12,5,3,-0.0881,51.5413,13.2,79,101.1,13,13.2,6.4,0,13.2,0,17.8
2016-03-07,25,12,5,3,-0.0881,51.5413,15.1,69,101.1,2,15.1,9.3,0,15.1,0,24
2016-04-19,35,20,11,6,0.1354,51.5154,11.5,68,101,90,11.5,5.2,0.017,11.5,0,30
2016-04-19,35,20,11,6,0.1354,51.5154,11.4,70,101,76,11.4,4.3,0.019,11.4,0,30.7
2016-03-20,82,67,49,28,-0.0558,51.5176,13.8,96,98.1,99,13.8,16.2,0.04,13.8,0,30.7
2016-03-20,82,67,49,28,-0.0558,51.5176,14.2,96,98,100,14.2,16.6,0.145,14.2,0,32.3
2015-03-30,40,23,14,8,-1.8904,52.4862,13.6,82,99,79,13.6,7.2,0.00254,13.6,0,33
2015-03-30,40,23,14,8,-1.8904,52.4862,15,78,99,41,15,5.9,0.00254,15,0,38.7
2017-03-01,115,78,58,33,-2.2426,53.4808,17.5,72,99.2,33,17.5,17.7,0,17.5,0,37.1
