Timeid,DayDate,CalMonth,CalQtr,CalYear,CalDayofMonth,WeekdayNumber
19861114,1986-11-14,November,4,1986,14,6
19861115,1986-11-15,November,4,1986,15,7
19861116,1986-11-16,November,4,1986,16,1
19861117,1986-11-17,November,4,1986,17,2
19861118,1986-11-18,November,4,1986,18,3
19861119,1986-11-19,November,4,1986,19,4
19861120,1986-11-20,November,4,1986,20,5
19861121,1986-11-21,November,4,1986,21,6
19861122,1986-11-22,November,4,1986,22,7
19861123,1986-11-23,November,4,1986,23,1
19861124,1986-11-24,November,4,1986,24,2
19861125,1986-11-25,November,4,1986,25,3
19861126,1986-11-26,November,4,1986,26,4
19861127,1986-11-27,November,4,1986,27,5
19861128,1986-11-28,November,4,1986,28,6
19861129,1986-11-29,November,4,1986,29,7
19861130,1986-11-30,November,4,1986,30,1
19861201,1986-12-01,December,4,1986,1,2
19861202,1986-12-02,December,4,1986,2,3
19861203,1986-12-03,December,4,1986,3,4
19861204,1986-12-04,December,4,1986,4,5
19861205,1986-12-05,December,4,1986,5,6
19861206,1986-12-06,December,4,1986,6,7
19861207,1986-12-07,December,4,1986,7,1
19861208,1986-12-08,December,4,1986,8,2
19861209,1986-12-09,December,4,1986,9,3
19861210,1986-12-10,December,4,1986,10,4
19861211,1986-12-11,December,4,1986,11,5
19861212,1986-12-12,December,4,1986,12,6
19861213,1986-12-13,December,4,1986,13,7
19861214,1986-12-14,December,4,1986,14,1
19861215,1986-12-15,December,4,1986,15,2
19861216,1986-12-16,December,4,1986,16,3
19861217,1986-12-17,December,4,1986,17,4
19861218,1986-12-18,December,4,1986,18,5
19861219,1986-12-19,December,4,1986,19,6
19861220,1986-12-20,December,4,1986,20,7
19861221,1986-12-21,December,4,1986,21,1
19861222,1986-12-22,December,4,1986,22,2
19861223,1986-12-23,December,4,1986,23,3
19861224,1986-12-24,December,4,1986,24,4
19861225,1986-12-25,December,4,1986,25,5
19861226,1986-12-26,December,4,1986,26,6
19861227,1986-12-27,December,4,1986,27,7
19900907,1990-09-07,September,3,1990,7,6
19900908,1990-09-08,September,3,1990,8,7
19900909,1990-09-09,September,3,1990,9,1
19900910,1990-09-10,September,3,1990,10,2
19900911,1990-09-11,September,3,1990,11,3
19900912,1990-09-12,September,3,1990,12,4
19900913,1990-09-13,September,3,1990,13,5
19900914,1990-09-14,September,3,1990,14,6
19900915,1990-09-15,September,3,1990,15,7
19900916,1990-09-16,September,3,1990,16,1
19900917,1990-09-17,September,3,1990,17,2
19900918,1990-09-18,September,3,1990,18,3
19900919,1990-09-19,September,3,1990,19,4
19900920,1990-09-20,September,3,1990,20,5
19900921,1990-09-21,September,3,1990,21,6
19900922,1990-09-22,September,3,1990,22,7
19900923,1990-09-23,September,3,1990,23,1
19900924,1990-09-24,September,3,1990,24,2
19900925,1990-09-25,September,3,1990,25,3
19900926,1990-09-26,September,3,1990,26,4
19900927,1990-09-27,September,3,1990,27,5
19900928,1990-09-28,September,3,1990,28,6
19900929,1990-09-29,September,3,1990,29,7
19900930,1990-09-30,September,3,1990,30,1
19901001,1990-10-01,October,4,1990,1,2
19901002,1990-10-02,October,4,1990,2,3
19901003,1990-10-03,October,4,1990,3,4
19901004,1990-10-04,October,4,1990,4,5
19901005,1990-10-05,October,4,1990,5,6
19901006,1990-10-06,October,4,1990,6,7
19901007,1990-10-07,October,4,1990,7,1
19901008,1990-10-08,October,4,1990,8,2
19901009,1990-10-09,October,4,1990,9,3
19901010,1990-10-10,October,4,1990,10,4
19901011,1990-10-11,October,4,1990,11,5
19901012,1990-10-12,October,4,1990,12,6
19901013,1990-10-13,October,4,1990,13,7
19901014,1990-10-14,October,4,1990,14,1
19901015,1990-10-15,October,4,1990,15,2
19901016,1990-10-16,October,4,1990,16,3
19901017,1990-10-17,October,4,1990,17,4
19901018,1990-10-18,October,4,1990,18,5
19901019,1990-10-19,October,4,1990,19,6
19901020,1990-10-20,October,4,1990,20,7
19901021,1990-10-21,October,4,1990,21,1
19901022,1990-10-22,October,4,1990,22,2
19901023,1990-10-23,October,4,1990,23,3
19901024,1990-10-24,October,4,1990,24,4
19901025,1990-10-25,October,4,1990,25,5
19901026,1990-10-26,October,4,1990,26,6
19901027,1990-10-27,October,4,1990,27,7
19901028,1990-10-28,October,4,1990,28,1
19901029,1990-10-29,October,4,1990,29,2
19901030,1990-10-30,October,4,1990,30,3
19901031,1990-10-31,October,4,1990,31,4
19901101,1990-11-01,November,4,1990,1,5
19901102,1990-11-02,November,4,1990,2,6
19901103,1990-11-03,November,4,1990,3,7
19901104,1990-11-04,November,4,1990,4,1
19901105,1990-11-05,November,4,1990,5,2
19901106,1990-11-06,November,4,1990,6,3
19901107,1990-11-07,November,4,1990,7,4
19901108,1990-11-08,November,4,1990,8,5
19901109,1990-11-09,November,4,1990,9,6
19901110,1990-11-10,November,4,1990,10,7
19750726,1975-07-26,July,3,1975,26,7
19750727,1975-07-27,July,3,1975,27,1
19750728,1975-07-28,July,3,1975,28,2
19750729,1975-07-29,July,3,1975,29,3
19750730,1975-07-30,July,3,1975,30,4
19750731,1975-07-31,July,3,1975,31,5
19750801,1975-08-01,August,3,1975,1,6
19750802,1975-08-02,August,3,1975,2,7
19750803,1975-08-03,August,3,1975,3,1
19750804,1975-08-04,August,3,1975,4,2
19750805,1975-08-05,August,3,1975,5,3
19750806,1975-08-06,August,3,1975,6,4
19750807,1975-08-07,August,3,1975,7,5
19750808,1975-08-08,August,3,1975,8,6
19750809,1975-08-09,August,3,1975,9,7
19750810,1975-08-10,August,3,1975,10,1
19750811,1975-08-11,August,3,1975,11,2
19750812,1975-08-12,August,3,1975,12,3
19750813,1975-08-13,August,3,1975,13,4
19750814,1975-08-14,August,3,1975,14,5
19750815,1975-08-15,August,3,1975,15,6
19750816,1975-08-16,August,3,1975,16,7
19750817,1975-08-17,August,3,1975,17,1
19750818,1975-08-18,August,3,1975,18,2
19750819,1975-08-19,August,3,1975,19,3
19750820,1975-08-20,August,3,1975,20,4
19750821,1975-08-21,August,3,1975,21,5
19750822,1975-08-22,August,3,1975,22,6
19750823,1975-08-23,August,3,1975,23,7
19750824,1975-08-24,August,3,1975,24,1
19750825,1975-08-25,August,3,1975,25,2
19750826,1975-08-26,August,3,1975,26,3
19750827,1975-08-27,August,3,1975,27,4
19750828,1975-08-28,August,3,1975,28,5
19750829,1975-08-29,August,3,1975,29,6
19750830,1975-08-30,August,3,1975,30,7
19750831,1975-08-31,August,3,1975,31,1
19750901,1975-09-01,September,3,1975,1,2
19750902,1975-09-02,September,3,1975,2,3
19750903,1975-09-03,September,3,1975,3,4
19750904,1975-09-04,September,3,1975,4,5
19750905,1975-09-05,September,3,1975,5,6
19750906,1975-09-06,September,3,1975,6,7
19750907,1975-09-07,September,3,1975,7,1
19750908,1975-09-08,September,3,1975,8,2
19750909,1975-09-09,September,3,1975,9,3
19750910,1975-09-10,September,3,1975,10,4
19750911,1975-09-11,September,3,1975,11,5
19750912,1975-09-12,September,3,1975,12,6
19750913,1975-09-13,September,3,1975,13,7
19750914,1975-09-14,September,3,1975,14,1
19750915,1975-09-15,September,3,1975,15,2
19750916,1975-09-16,September,3,1975,16,3
19750917,1975-09-17,September,3,1975,17,4
19750918,1975-09-18,September,3,1975,18,5
19750919,1975-09-19,September,3,1975,19,6
19750920,1975-09-20,September,3,1975,20,7
19750921,1975-09-21,September,3,1975,21,1
